Date,Town,Sale Amount
03/13,Andover,209860.0
04/13,Andover,405000.0
05/13,Andover,262980.0
06/13,Andover,230000.0
07/13,Andover,204162.0
08/13,Andover,128500.0
09/13,Andover,349900.0
10/13,Andover,240000.0
11/13,Andover,211250.0
12/13,Andover,268950.0
01/14,Andover,282315.06
02/14,Andover,282315.06
03/14,Andover,166550.0
04/14,Andover,245250.0
05/14,Andover,98000.0
06/14,Andover,193750.0
07/14,Andover,201380.0
08/14,Andover,264833.75
09/14,Andover,284500.0
10/14,Andover,137000.0
11/14,Andover,211350.0
12/14,Andover,185333.33
01/15,Andover,174666.67
02/15,Andover,394550.0
03/15,Andover,189537.5
04/15,Andover,203966.67
05/15,Andover,275000.0
06/15,Andover,201433.33
07/15,Andover,170000.0
08/15,Andover,237250.0
09/15,Andover,200789.33
10/15,Andover,212500.0
11/15,Andover,161500.0
12/15,Andover,201900.0
01/16,Andover,142440.0
02/16,Andover,320616.67
03/16,Andover,271408.24
04/16,Andover,348500.0
05/16,Andover,307011.11
06/16,Andover,200666.67
07/16,Andover,195833.33
08/16,Andover,210833.33
09/16,Andover,221250.0
10/16,Andover,270517.16
11/16,Andover,270517.16
12/16,Andover,270517.16
01/17,Andover,270517.16
02/17,Andover,270517.16
03/17,Andover,270517.16
04/17,Andover,270517.16
05/17,Andover,270517.16
06/17,Andover,270517.16
07/17,Andover,270517.16
08/17,Andover,270517.16
09/17,Andover,270517.16
10/17,Andover,165500.0
11/17,Andover,172750.0
12/17,Andover,329000.0
01/18,Andover,293850.0
02/18,Andover,155000.0
03/18,Andover,260035.56
04/18,Andover,201887.44
05/18,Andover,340666.67
06/18,Andover,111701.0
07/18,Andover,204407.14
08/18,Andover,200222.22
09/18,Andover,129112.0
10/18,Andover,255300.0
11/18,Andover,256666.67
12/18,Andover,266677.0
01/19,Andover,194683.5
02/19,Andover,147081.0
03/19,Andover,225000.0
04/19,Andover,306200.0
05/19,Andover,310000.0
06/19,Andover,295833.33
07/19,Andover,327760.0
08/19,Andover,226707.69
09/19,Andover,255560.0
10/19,Andover,227250.0
11/19,Andover,189480.0
12/19,Andover,261666.67
01/20,Andover,222316.67
02/20,Andover,155950.0
03/20,Andover,188201.5
04/20,Andover,267033.33
05/20,Andover,285666.67
06/20,Andover,264000.0
07/20,Andover,258858.33
08/20,Andover,423750.0
09/20,Andover,217000.0
10/20,Andover,254966.67
11/20,Andover,289975.0
12/20,Andover,327980.0
01/21,Andover,304242.14
02/21,Andover,265315.44
03/21,Andover,269483.33
04/21,Andover,267080.0
05/21,Andover,247375.0
06/21,Andover,301180.0
07/21,Andover,317146.88
08/21,Andover,349999.89
09/21,Andover,162166.67
10/21,Andover,265589.23
11/21,Andover,265589.23
12/21,Andover,265589.23
01/22,Andover,265589.23
02/22,Andover,265589.23
03/22,Andover,265589.23
04/22,Andover,265589.23
05/22,Andover,265589.23
06/22,Andover,265589.23
07/22,Andover,265589.23
08/22,Andover,265589.23
09/22,Andover,265589.23
10/22,Andover,265589.23
11/22,Andover,265589.23
12/22,Andover,265589.23
10/06,Ansonia,259450.0
11/06,Ansonia,251371.11
12/06,Ansonia,250957.69
01/07,Ansonia,207445.45
02/07,Ansonia,202347.47
03/07,Ansonia,250400.0
04/07,Ansonia,260990.91
05/07,Ansonia,250920.19
06/07,Ansonia,247507.33
07/07,Ansonia,194819.54
08/07,Ansonia,237093.33
09/07,Ansonia,221487.31
10/07,Ansonia,255412.18
11/07,Ansonia,255412.18
12/07,Ansonia,255412.18
01/08,Ansonia,255412.18
