Town,Date,Sale Amount
Watertown,2010-03-01,210150.667
Watertown,2010-04-01,214724.857
Watertown,2010-05-01,199896.545
Watertown,2010-06-01,221192.308
Watertown,2010-07-01,192694.737
Watertown,2010-08-01,216750.929
Watertown,2010-09-01,252467.167
Watertown,2010-10-01,224498.867
Watertown,2010-11-01,221657.923
Watertown,2010-12-01,267794.143
Watertown,2011-01-01,126464.286
Watertown,2011-02-01,205666.667
Watertown,2011-03-01,247458.333
Watertown,2011-04-01,217121.667
Watertown,2011-05-01,224566.667
Watertown,2011-06-01,238161.905
Watertown,2011-07-01,248017.526
Watertown,2011-08-01,225895.833
Watertown,2011-09-01,205034.533
Watertown,2011-10-01,210309.421
Watertown,2011-11-01,224198.214
Watertown,2011-12-01,302376.667
Watertown,2012-01-01,211497.3
Watertown,2012-02-01,219880.0
Watertown,2012-03-01,188631.579
Watertown,2012-04-01,200505.556
Watertown,2012-05-01,194100.0
Watertown,2012-06-01,191479.348
Watertown,2012-07-01,232752.941
Watertown,2012-08-01,226181.273
Watertown,2012-09-01,215488.333
Watertown,2012-10-01,218505.625
Watertown,2012-11-01,234700.0
Watertown,2012-12-01,185635.267
Watertown,2013-01-01,189325.857
Watertown,2013-02-01,166800.0
Watertown,2013-03-01,240971.786
Watertown,2013-04-01,222615.25
Watertown,2013-05-01,206222.222
Watertown,2013-06-01,240973.684
Watertown,2013-07-01,207766.387
Watertown,2013-08-01,216258.824
Watertown,2013-09-01,193640.714
Watertown,2013-10-01,194096.984
Watertown,2013-11-01,194553.254
Watertown,2013-12-01,195009.524
Watertown,2014-01-01,195465.794
Watertown,2014-02-01,195922.063
Watertown,2014-03-01,196378.333
Watertown,2014-04-01,196834.603
Watertown,2014-05-01,197290.873
Watertown,2014-06-01,197747.143
Watertown,2014-07-01,198203.413
Watertown,2014-08-01,198659.683
Watertown,2014-09-01,199115.952
Watertown,2014-10-01,199572.222
Watertown,2014-11-01,178607.692
Watertown,2014-12-01,221390.909
Watertown,2015-01-01,164004.545
Watertown,2015-02-01,212212.308
Watertown,2015-03-01,290416.667
Watertown,2015-04-01,193439.5
Watertown,2015-05-01,195663.235
Watertown,2015-06-01,217952.7
Watertown,2015-07-01,243538.71
Watertown,2015-08-01,214492.308
Watertown,2015-09-01,227780.952
