Town,Sale Amount,Date,Projected,Lower_CI,Upper_CI
Ansonia,326245.0,2006-12-01,False,,
Ansonia,269679.0909090909,2007-01-01,False,,
Ansonia,263051.70666666667,2007-02-01,False,,
Ansonia,338489.4117647059,2007-03-01,False,,
Ansonia,339288.1818181818,2007-04-01,False,,
Ansonia,326196.24074074073,2007-05-01,False,,
Ansonia,321759.5333333333,2007-06-01,False,,
Ansonia,237217.87142857144,2007-07-01,False,,
Ansonia,308221.3333333333,2007-08-01,False,,
Ansonia,287933.5,2007-09-01,False,,
Ansonia,252776.21438274905,2007-10-01,False,,
Ansonia,252776.21438274905,2007-11-01,False,,
Ansonia,252776.21438274905,2007-12-01,False,,
Ansonia,252776.21438274905,2008-01-01,False,,
Ansonia,252776.21438274905,2008-02-01,False,,
Ansonia,252776.21438274905,2008-03-01,False,,
Ansonia,252776.21438274905,2008-04-01,False,,
Ansonia,252776.21438274905,2008-05-01,False,,
Ansonia,252776.21438274905,2008-06-01,False,,
Ansonia,252776.21438274905,2008-07-01,False,,
Ansonia,252776.21438274905,2008-08-01,False,,
Ansonia,252776.21438274905,2008-09-01,False,,
Ansonia,298265.5,2008-10-01,False,,
Ansonia,221835.7142857143,2008-11-01,False,,
Ansonia,269339.11333333334,2008-12-01,False,,
Ansonia,275681.25,2009-01-01,False,,
Ansonia,246210.25,2009-02-01,False,,
Ansonia,239362.5,2009-03-01,False,,
Ansonia,177457.64705882352,2009-04-01,False,,
Ansonia,304525.0,2009-05-01,False,,
Ansonia,333840.0,2009-06-01,False,,
Ansonia,298183.04285714286,2009-07-01,False,,
Ansonia,247325.0,2009-08-01,False,,
Ansonia,208944.19,2009-09-01,False,,
Ansonia,294961.875,2009-10-01,False,,
Ansonia,246247.08333333337,2009-11-01,False,,
Ansonia,262300.0,2009-12-01,False,,
Ansonia,167700.0,2010-01-01,False,,
Ansonia,243100.0,2010-02-01,False,,
Ansonia,228033.0,2010-03-01,False,,
Ansonia,232004.29473684207,2010-04-01,False,,
Ansonia,217466.50714285715,2010-05-01,False,,
Ansonia,221591.06666666668,2010-06-01,False,,
Ansonia,272340.71428571426,2010-07-01,False,,
Ansonia,194918.75,2010-08-01,False,,
Ansonia,330850.0,2010-09-01,False,,
Ansonia,228670.0,2010-10-01,False,,
Ansonia,237217.06666666665,2010-11-01,False,,
Ansonia,267334.97142857144,2010-12-01,False,,
Ansonia,180454.44444444444,2011-01-01,False,,
Ansonia,228886.58,2011-02-01,False,,
Ansonia,193429.38333333333,2011-03-01,False,,
Ansonia,197410.0,2011-04-01,False,,
Ansonia,226081.81818181815,2011-05-01,False,,
Ansonia,267705.9666666667,2011-06-01,False,,
Ansonia,223983.37,2011-07-01,False,,
Ansonia,221617.41875,2011-08-01,False,,
Ansonia,194610.0,2011-09-01,False,,
Ansonia,207952.7272727273,2011-10-01,False,,
Ansonia,226424.54545454544,2011-11-01,False,,
Ansonia,199774.0,2011-12-01,False,,
Ansonia,238766.66666666663,2012-01-01,False,,
Ansonia,123295.25,2012-02-01,False,,
Ansonia,175549.70588235295,2012-03-01,False,,
Ansonia,212031.0214285714,2012-04-01,False,,
Ansonia,200449.16666666663,2012-05-01,False,,
Ansonia,209217.2727272727,2012-06-01,False,,
Ansonia,209885.0,2012-07-01,False,,
Ansonia,216788.0,2012-08-01,False,,
Ansonia,208924.7642857143,2012-09-01,False,,
Ansonia,252776.21438274905,2012-10-01,False,,
Ansonia,252776.21438274905,2012-11-01,False,,
Ansonia,252776.21438274905,2012-12-01,False,,
Ansonia,252776.21438274905,2013-01-01,False,,
Ansonia,252776.21438274905,2013-02-01,False,,
Ansonia,252776.21438274905,2013-03-01,False,,
Ansonia,252776.21438274905,2013-04-01,False,,
Ansonia,252776.21438274905,2013-05-01,False,,
