Date,Unemployed,Town
2025-04-01,39.43400513277629,North Canaan
2025-05-01,39.52329206305857,North Canaan
2025-06-01,38.9856142365135,North Canaan
2025-07-01,43.20471902699377,North Canaan
2025-08-01,40.08562952431503,North Canaan
2025-09-01,30.18666365840901,North Canaan
2025-10-01,30.05454738597937,North Canaan
2024-11-01,260.0249699015284,North Haven
2024-12-01,249.10995451024934,North Haven
2025-01-01,317.1551774835499,North Haven
2025-02-01,316.8767861136295,North Haven
2025-03-01,263.7921990999936,North Haven
2025-04-01,214.2252596363095,North Haven
2025-05-01,255.91145659109318,North Haven
2025-06-01,200.8911216715913,North Haven
2025-07-01,250.8765790903166,North Haven
2025-08-01,249.81889948902304,North Haven
2025-09-01,196.47218585547975,North Haven
2025-10-01,210.9453724333988,North Haven
2024-11-01,77.79589790069288,Lyme
2024-12-01,70.80628417309865,Lyme
2025-01-01,87.03002563537254,Lyme
2025-02-01,94.93742881602661,Lyme
2025-03-01,77.0304845740265,Lyme
2025-04-01,60.24555370145197,Lyme
2025-05-01,77.99963454882423,Lyme
2025-06-01,62.08308168050896,Lyme
2025-07-01,68.51089691250964,Lyme
2025-08-01,63.562182360928055,Lyme
2025-09-01,58.05252203316299,Lyme
2025-10-01,60.50150359073129,Lyme
2024-11-01,98.18710863433833,Old Saybrook
2024-12-01,93.46619085575007,Old Saybrook
2025-01-01,108.9707464521737,Old Saybrook
2025-02-01,112.11106752292854,Old Saybrook
2025-03-01,92.52862396412073,Old Saybrook
2025-04-01,79.40771515265926,Old Saybrook
2025-05-01,96.70813371435378,Old Saybrook
2025-06-01,75.14582886128804,Old Saybrook
2025-07-01,85.56247559109175,Old Saybrook
2025-08-01,86.25085660983504,Old Saybrook
2025-09-01,75.59391597054744,Old Saybrook
2025-10-01,76.29932686105344,Old Saybrook
2024-11-01,140.53034998332086,Orange
2024-12-01,133.46449983875047,Orange
2025-01-01,158.05588290024724,Orange
2025-02-01,165.2347915230613,Orange
2025-03-01,136.7766067342839,Orange
2025-04-01,118.74858748229535,Orange
2025-05-01,146.33188119619794,Orange
2025-06-01,128.46948421964186,Orange
2025-07-01,137.628231892577,Orange
2025-08-01,131.021202384367,Orange
2025-09-01,116.13649729623397,Orange
2025-10-01,126.64125846147226,Orange
2024-11-01,149.21986741836838,Oxford
2024-12-01,146.6917081575965,Oxford
2025-01-01,223.04767209865986,Oxford
2025-02-01,216.3626592409505,Oxford
2025-03-01,191.83071144016282,Oxford
2025-04-01,161.2796339897368,Oxford
2025-05-01,201.417588242778,Oxford
2025-06-01,198.28889590957198,Oxford
2025-07-01,212.31828615695449,Oxford
2025-08-01,185.98709765856506,Oxford
2025-09-01,150.42561018462962,Oxford
2025-10-01,141.90504249951874,Oxford
2024-11-01,199.0117192723405,Plainfield
2024-12-01,203.8836257692816,Plainfield
2025-01-01,263.46952687368906,Plainfield
2025-02-01,268.33745180246643,Plainfield
2025-03-01,232.018371120866,Plainfield
2025-04-01,190.49279380217916,Plainfield
2025-05-01,211.13232485880113,Plainfield
2025-06-01,178.51854145918873,Plainfield
2025-07-01,207.01937212577337,Plainfield
2025-08-01,215.70144861687766,Plainfield
2025-09-01,177.29124076490893,Plainfield
2025-10-01,181.25963537085875,Plainfield
2024-11-01,211.75492969387918,Plainville
2024-12-01,216.48985596065265,Plainville
2025-01-01,347.07421335318634,Plainville
2025-02-01,353.39174977886506,Plainville
2025-03-01,313.878470891666,Plainville
2025-04-01,264.14614745918476,Plainville
2025-05-01,296.2744821378263,Plainville
2025-06-01,284.59838157200596,Plainville
2025-07-01,297.03430506596266,Plainville
2025-08-01,246.30473812404654,Plainville
2025-09-01,213.08215585419592,Plainville
2025-10-01,207.36807878679593,Plainville
2024-11-01,157.89158852252893,Plymouth
2024-12-01,154.6571917557621,Plymouth
2025-01-01,260.5337686036694,Plymouth
2025-02-01,266.228498452954,Plymouth
2025-03-01,233.95490793693352,Plymouth
2025-04-01,191.24960409777285,Plymouth
2025-05-01,209.57296640428711,Plymouth
2025-06-01,205.28440902930066,Plymouth
2025-07-01,229.67939766149135,Plymouth
2025-08-01,199.28458054317855,Plymouth
2025-09-01,155.4282905653062,Plymouth
2025-10-01,156.9360187852095,Plymouth
2024-11-01,51.48309060082554,Pomfret
2024-12-01,49.02509481476482,Pomfret
2025-01-01,58.04276735863826,Pomfret
2025-02-01,60.97130633814211,Pomfret
2025-03-01,54.784058277484704,Pomfret
2025-04-01,48.013821881981855,Pomfret
2025-05-01,60.058147901646954,Pomfret
2025-06-01,52.270206590641784,Pomfret
